order_id,customer_id,age,account_age_days,customer_segment,country,platform,device_type,payment_method,product_category,avg_order_value_usd,refund_amount_requested_usd,is_high_value_item,discount_used,order_date,return_date,days_to_return,return_reason,total_orders_lifetime,total_returns_lifetime,return_rate_pct,item_returned_opened,return_packaging_intact,photo_evidence_provided,tracking_number_valid,shipping_carrier,address_change_before_delivery,refund_to_different_account,multiple_accounts_flag,customer_support_contacts,previous_dispute_count,wishlist_to_cart_time_hrs,review_left_after_return,abuse_type,abuse_label
ORD2033726,CUST922170,32,267,Bronze,IN,Web Browser,Android,Buy Now Pay Later,Home & Kitchen,177.31,166.74,0,1,2022-08-09,2022-08-20,11,Changed Mind,46,3,6.5,0,1,1,1,OnTrac,0,0,0,0,1,60.5,0,Legitimate,0
ORD2049475,CUST935646,67,1362,Silver,US,Mobile App,iPhone,Credit Card,Electronics,137.12,123.72,0,0,2022-03-13,2022-03-25,12,Quality Issue,54,4,7.4,0,1,1,1,FedEx,0,0,0,0,0,10.3,1,Legitimate,0
ORD2049346,CUST890678,39,1254,Bronze,US,Web Browser,Android,Buy Now Pay Later,Jewelry,117.41,107.84,0,0,2022-12-28,2023-01-25,28,Defective/Broken,37,0,0.0,0,1,1,1,USPS,0,0,0,0,1,18.6,1,Legitimate,0
ORD2058147,CUST779661,26,1693,Gold,US,Tablet App,iPhone,Debit Card,Clothing,297.89,271.9,1,0,2023-03-18,2023-04-12,25,Wrong Item Sent,36,0,0.0,1,1,1,1,UPS,0,0,0,1,1,57.2,1,Legitimate,0
ORD2021926,CUST100503,57,1919,Gold,US,Tablet App,iPhone,Buy Now Pay Later,Furniture,364.17,378.72,1,1,2023-09-03,2023-09-07,4,Wrong Item Sent,7,3,42.9,0,1,0,1,FedEx,0,1,0,2,5,4.8,0,Fraudulent Return,2
ORD2058974,CUST863356,30,1428,Bronze,US,Mobile App,Android,Debit Card,Sports,233.17,202.32,1,0,2023-08-15,2023-09-12,28,Wrong Item Sent,40,4,10.0,0,1,0,1,OnTrac,0,0,0,0,0,16.6,0,Legitimate,0
ORD2016135,CUST304645,23,820,Gold,US,Mobile App,Android,Gift Card,Shoes,242.55,205.92,1,0,2022-03-10,2022-04-04,25,Changed Mind,53,1,1.9,0,1,0,1,OnTrac,0,0,0,1,1,44.1,0,Legitimate,0
ORD2056910,CUST130785,24,1900,Bronze,DE,Tablet App,iPhone,Credit Card,Electronics,173.59,164.49,0,1,2022-12-10,2022-12-18,8,Found Better Price,95,43,45.3,1,0,1,1,FedEx,0,0,0,3,0,19.9,0,Policy Abuser,1
ORD2012886,CUST417730,64,165,Gold,US,Web Browser,iPhone,Buy Now Pay Later,Clothing,298.41,280.45,1,1,2023-08-31,2023-10-16,46,Not As Described,51,20,39.2,1,1,0,1,FedEx,1,0,0,3,1,1.0,0,Wardrobing,3
ORD2005759,CUST235318,63,1204,Silver,IN,Mobile App,iPad,PayPal,Clothing,323.76,310.69,1,0,2022-05-07,2022-06-13,37,Too Small,20,5,25.0,1,1,0,1,DHL,0,0,0,4,1,4.6,0,Wardrobing,3
ORD2037062,CUST376158,55,828,Bronze,DE,Mobile App,iPad,Credit Card,Clothing,259.02,213.59,1,0,2022-05-29,2022-06-14,16,Defective/Broken,61,5,8.2,0,1,0,1,OnTrac,0,0,0,1,1,33.7,0,Legitimate,0
ORD2045235,CUST830215,32,965,New,US,Tablet App,iPhone,Crypto,Shoes,140.32,121.22,0,0,2023-07-29,2023-08-11,13,Found Better Price,17,0,0.0,0,1,0,1,USPS,0,0,0,1,0,32.7,0,Legitimate,0
ORD2036051,CUST518241,49,557,Platinum,US,Mobile App,MacBook,Credit Card,Furniture,21.77,18.82,0,0,2023-01-25,2023-02-10,16,Changed Mind,74,2,2.7,1,0,0,1,USPS,0,0,0,1,1,11.2,0,Legitimate,0
ORD2029192,CUST432117,45,2255,New,US,Web Browser,Windows PC,Debit Card,Electronics,269.42,223.74,1,0,2023-07-04,2023-07-19,15,Not As Described,59,8,13.6,0,1,0,1,FedEx,0,0,0,0,1,44.1,0,Legitimate,0
ORD2054864,CUST973995,64,49,New,US,Mobile App,Android,Credit Card,Grocery,178.37,164.41,0,1,2022-02-12,2022-02-17,5,Item Not Received,69,33,47.8,0,0,1,1,FedEx,0,0,1,3,4,38.7,0,Policy Abuser,1
ORD2029112,CUST750847,60,2410,Silver,FR,Tablet App,MacBook,Debit Card,Clothing,269.07,233.07,1,0,2022-05-19,2022-05-21,2,Not As Described,13,0,0.0,0,1,1,1,OnTrac,0,0,0,1,0,46.3,0,Legitimate,0
ORD2041132,CUST306057,41,2204,Silver,US,Mobile App,MacBook,PayPal,Electronics,799.81,833.97,1,0,2022-07-30,2022-08-04,5,Item Not Received,8,2,25.0,1,1,1,0,FedEx,0,1,0,2,2,0.6,0,Fraudulent Return,2
ORD2056313,CUST381578,42,888,Silver,US,Web Browser,iPhone,Credit Card,Clothing,154.09,137.49,0,0,2022-11-18,2022-11-28,10,Changed Mind,37,4,10.8,0,1,0,1,USPS,0,0,0,0,1,56.0,0,Legitimate,0
ORD2012361,CUST570641,67,2405,Gold,BR,Web Browser,iPad,Credit Card,Tools,228.79,212.63,1,0,2023-02-25,2023-03-11,14,Not As Described,55,3,5.5,0,1,0,1,UPS,0,0,0,1,1,27.0,0,Legitimate,0
ORD2016165,CUST942536,70,291,Bronze,US,Mobile App,iPhone,Crypto,Shoes,352.18,359.05,1,0,2023-05-19,2023-05-22,3,Wrong Item Sent,30,17,56.7,0,1,0,1,FedEx,0,1,1,2,1,0.9,1,Fraudulent Return,2
ORD2015225,CUST718734,53,847,Gold,US,Mobile App,Windows PC,Debit Card,Furniture,178.86,173.12,0,0,2022-02-24,2022-03-09,13,Gift Duplicate,28,16,57.1,0,0,0,1,FedEx,0,0,0,6,1,11.5,0,Policy Abuser,1
ORD2035099,CUST557875,61,1760,Bronze,IN,Mobile App,Windows PC,Buy Now Pay Later,Tools,182.79,159.08,0,0,2022-06-02,2022-06-14,12,Not As Described,58,5,8.6,0,1,1,1,OnTrac,0,0,0,1,1,60.2,1,Legitimate,0
ORD2058045,CUST690798,55,1563,Silver,US,Web Browser,Windows PC,Credit Card,Electronics,141.73,137.61,0,0,2022-09-03,2022-09-19,16,Changed Mind,93,60,64.5,1,1,0,1,USPS,0,0,1,6,0,24.4,0,Policy Abuser,1
ORD2002248,CUST121346,68,2070,Bronze,BR,Mobile App,iPad,Buy Now Pay Later,Clothing,253.4,210.31,1,0,2023-09-15,2023-09-27,12,Found Better Price,30,3,10.0,0,0,0,1,UPS,0,0,0,0,1,5.3,1,Legitimate,0
ORD2029527,CUST765327,62,507,Gold,US,Mobile App,MacBook,Crypto,Sports,270.99,231.65,1,0,2022-01-05,2022-01-17,12,Too Large,18,1,5.6,0,1,0,1,UPS,1,0,0,1,0,19.9,0,Legitimate,0
